rank	hgnc_symbol	ensembl_gene_id	uniprot_accession	surfaceome_category	scenario	scenario_score	available_weight_sum	missing_weighted_components	n_missing_mvp_score_components	missing_mvp_score_components	Surf_relative_confidence	E_rank_percentile	N_rank_percentile	R_rank_percentile_high_worse	P_rank_percentile	SC_status	SC_rank_percentile	T_rank_percentile	Surf_contribution	E_contribution	N_contribution	R_contribution_subtracted	P_contribution	SC_contribution	T_contribution	E_score	N_score	R_score	P_score	T_score	tme_contamination_risk	accessibility_class	isoform_resolution_status	hpa_evidence_status	discordance_flags	max_risk_organ	risk_interpretation
536	OR6B2	ENSG00000182083	Q6IFH4	core_surfaceome	protein_first	0.393141	1.000000		0		0.600000	0.095918	0.442672	0.085343	0.826160	not_available		0.261561	0.090000	0.014388	0.079681	-0.015362	0.198278		0.026156	0.090538	0.479963	0.000000	0.490000	0.748939	low_uncorrected_tme_correlation	C	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	CPTAC_not_assessed	brain	lower_risk_by_current_normal_expression
537	TNFRSF10C	ENSG00000173535	O14798	core_surfaceome	protein_first	0.392837	1.000000		0		0.400000	0.623377	0.543970	0.470501	0.584405	not_available		0.858491	0.060000	0.093507	0.097915	-0.084690	0.140257		0.085849	0.626475	0.552913	0.850000	0.266667	0.950000	low_uncorrected_tme_correlation	A	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	CPTAC_not_assessed	lung	high_critical_off_tumor_risk
538	FLT3LG	ENSG00000090554	P49771	core_surfaceome	protein_first	0.392054	0.760000	P	1	P	0.400000	0.776252	0.672727	0.312987		not_available		0.567703	0.060000	0.116438	0.121091	-0.056338			0.056770	0.779647	0.617365	0.750000		0.832500	moderate_residual_tme_correlation	A	multiple_uniprot_isoforms_mapped_not_resolved	missing_stomach_cancer_ihc	HPA_missing;antibody_low_confidence;CPTAC_not_assessed	immune	moderate_off_tumor_risk
539	TM4SF1	ENSG00000169908	P30408	core_surfaceome	protein_first	0.392026	1.000000		0		0.400000	0.987384	0.959555	0.470501	0.181107	not_available		0.524232	0.060000	0.148108	0.172720	-0.084690	0.043466		0.052423	0.966160	0.862857	0.850000	0.090909	0.796815	low_uncorrected_tme_correlation	C	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	antibody_low_confidence;CPTAC_not_assessed	endothelial	high_critical_off_tumor_risk
540	LY6E	ENSG00000160932	Q16553	core_surfaceome	protein_first	0.391530	0.760000	P	1	P	0.400000	0.995547	0.990724	0.832282		not_available		0.597114	0.060000	0.149332	0.178330	-0.149811			0.059711	0.973395	0.925751	1.000000		0.855173	low_uncorrected_tme_correlation	B	not_isoform_critical_or_single_canonical_mapping	missing_stomach_cancer_ihc	HPA_missing;antibody_low_confidence;CPTAC_not_assessed	brain	high_critical_off_tumor_risk
541	RAET1L	ENSG00000155918	Q5VY80	core_surfaceome	protein_first	0.391458	0.760000	P	1	P	0.600000	0.479777	0.566234	0.290167		not_available		0.858491	0.090000	0.071967	0.101922	-0.052230			0.085849	0.478831	0.565566	0.700000		0.950000	low_uncorrected_tme_correlation	A	not_isoform_critical_or_single_canonical_mapping	missing_stomach_cancer_ihc	HPA_missing;CPTAC_not_assessed	gi_epithelial	moderate_off_tumor_risk
542	FAM174B	ENSG00000185442	Q3ZCQ3	core_surfaceome	protein_first	0.391104	1.000000		0		0.400000	0.805566	0.402968	0.470501	0.676356	not_available		0.600999	0.060000	0.120835	0.072534	-0.084690	0.162325		0.060100	0.806512	0.445566	0.850000	0.330278	0.858900	low_uncorrected_tme_correlation	B	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	protein_present_no_membrane;CPTAC_not_assessed	lung	high_critical_off_tumor_risk
543	BOC	ENSG00000144857	Q9BWV1	core_surfaceome	protein_first	0.390993	1.000000		0		0.600000	0.681633	0.200000	0.832282	0.973449	not_available		0.789308	0.090000	0.102245	0.036000	-0.149811	0.233628		0.078931	0.689777	0.273024	1.000000	0.670000	0.932500	high_purity_adjusted_tme_correlation	A	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	CPTAC_not_assessed	heart	high_critical_off_tumor_risk
544	CDHR5	ENSG00000099834	Q9HBB8	core_surfaceome	protein_first	0.390973	1.000000		0		0.400000	0.861967	0.864935	0.599629	0.312465	not_available		0.789308	0.060000	0.129295	0.155688	-0.107933	0.074992		0.078931	0.867996	0.756067	0.900000	0.195833	0.932500	low_uncorrected_tme_correlation	A	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	protein_present_no_membrane;CPTAC_not_assessed	kidney	high_critical_off_tumor_risk
545	EVI2A	ENSG00000126860	P22794	core_surfaceome	protein_first	0.390774	1.000000		0		0.600000	0.716327	0.549907	0.832282	0.727501	not_available		0.695523	0.090000	0.107449	0.098983	-0.149811	0.174600		0.069552	0.719759	0.558071	1.000000	0.420000	0.917636	high_purity_adjusted_tme_correlation	A	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	CPTAC_not_assessed	brain	high_critical_off_tumor_risk
