gene_id	variance
ENSG00000233864.7	24.0798282623291
ENSG00000101441.4	24.060497283935547
ENSG00000223648.3	24.041330337524414
ENSG00000282600.1	24.021299362182617
ENSG00000262554.1	23.99657440185547
ENSG00000202343.1	23.99068832397461
ENSG00000188373.4	23.97715950012207
ENSG00000280849.1	23.964534759521484
ENSG00000185681.12	23.955123901367188
ENSG00000233929.1	23.94565200805664
ENSG00000211643.2	23.936250686645508
ENSG00000277669.1	23.927391052246094
ENSG00000277678.1	23.884967803955078
ENSG00000275229.1	23.884967803955078
ENSG00000273516.1	23.884967803955078
ENSG00000252105.1	23.884967803955078
ENSG00000224677.1	23.883438110351562
ENSG00000255498.1	23.877330780029297
ENSG00000143536.7	23.86842918395996
ENSG00000268062.1	23.857166290283203
ENSG00000203785.8	23.84087562561035
ENSG00000126890.13	23.83306121826172
ENSG00000091482.5	23.832225799560547
ENSG00000216331.1	23.817790985107422
ENSG00000275710.1	23.80664825439453
ENSG00000255114.1	23.794296264648438
ENSG00000272328.1	23.76816177368164
ENSG00000224629.1	23.71678352355957
ENSG00000005073.5	23.702049255371094
ENSG00000257653.1	23.699983596801758
ENSG00000277502.1	23.643917083740234
ENSG00000185290.3	23.63409423828125
ENSG00000200354.1	23.63011932373047
ENSG00000232032.1	23.627431869506836
ENSG00000254673.1	23.590774536132812
ENSG00000276563.1	23.588537216186523
ENSG00000163295.4	23.587705612182617
ENSG00000240990.9	23.57513427734375
ENSG00000146755.10	23.558752059936523
ENSG00000249395.2	23.55753517150879
ENSG00000224163.4	23.55461311340332
ENSG00000255390.1	23.532699584960938
ENSG00000044012.3	23.518592834472656
ENSG00000105398.3	23.46738052368164
ENSG00000207181.1	23.444053649902344
ENSG00000267449.1	23.415231704711914
ENSG00000198054.11	23.391582489013672
ENSG00000184956.15	23.35384750366211
ENSG00000278763.1	23.352802276611328
ENSG00000211665.2	23.348403930664062
ENSG00000254894.1	23.345144271850586
ENSG00000163216.6	23.33641815185547
ENSG00000249784.1	23.334991455078125
ENSG00000274859.1	23.305397033691406
ENSG00000230316.6	23.266874313354492
ENSG00000265118.5	23.23946189880371
ENSG00000211658.2	23.239145278930664
ENSG00000256210.3	23.230619430541992
ENSG00000189052.6	23.2263240814209
ENSG00000251026.1	23.226247787475586
ENSG00000255986.6	23.224794387817383
ENSG00000267541.1	23.218780517578125
ENSG00000188100.8	23.211280822753906
ENSG00000197273.3	23.209320068359375
ENSG00000225704.2	23.20120620727539
ENSG00000275718.1	23.189071655273438
ENSG00000270460.1	23.184871673583984
ENSG00000115593.14	23.167768478393555
ENSG00000100604.12	23.15168571472168
ENSG00000207166.1	23.12570571899414
ENSG00000165828.13	23.108219146728516
ENSG00000241020.1	23.09725570678711
ENSG00000276101.1	23.06540870666504
ENSG00000173237.4	23.055574417114258
ENSG00000211642.2	23.054824829101562
ENSG00000112494.9	23.04214859008789
ENSG00000205916.10	23.037172317504883
ENSG00000227627.1	23.014278411865234
ENSG00000255960.1	23.006805419921875
ENSG00000254010.1	23.0048828125
ENSG00000253007.2	22.996755599975586
ENSG00000267512.1	22.992916107177734
ENSG00000222726.1	22.983247756958008
ENSG00000233313.2	22.963584899902344
ENSG00000276026.1	22.960800170898438
ENSG00000203818.7	22.950550079345703
ENSG00000258964.1	22.916275024414062
ENSG00000267484.1	22.89459800720215
ENSG00000215182.8	22.879636764526367
ENSG00000278735.1	22.879213333129883
ENSG00000211672.2	22.857168197631836
ENSG00000222724.1	22.83011817932129
ENSG00000224739.2	22.79157829284668
ENSG00000167414.4	22.789030075073242
ENSG00000281028.1	22.77218246459961
ENSG00000260934.1	22.762630462646484
ENSG00000260075.1	22.762216567993164
ENSG00000249550.6	22.75694465637207
ENSG00000274985.1	22.75154685974121
ENSG00000230572.5	22.73598861694336
ENSG00000211968.3	22.730260848999023
ENSG00000272949.1	22.72513771057129
ENSG00000171560.14	22.712495803833008
ENSG00000275212.1	22.703075408935547
ENSG00000268525.1	22.699861526489258
ENSG00000262831.1	22.696178436279297
ENSG00000224817.1	22.692855834960938
ENSG00000280331.1	22.683744430541992
ENSG00000145384.3	22.675247192382812
ENSG00000188765.7	22.669485092163086
ENSG00000211972.2	22.655675888061523
ENSG00000235333.3	22.63474464416504
ENSG00000232216.1	22.632219314575195
ENSG00000232679.1	22.60141372680664
ENSG00000251994.1	22.59276008605957
ENSG00000282556.1	22.587913513183594
ENSG00000242207.1	22.578227996826172
ENSG00000250535.1	22.57244300842285
ENSG00000171431.3	22.569198608398438
ENSG00000269145.2	22.568639755249023
ENSG00000275143.1	22.568069458007812
ENSG00000187191.14	22.528671264648438
ENSG00000264940.4	22.524791717529297
ENSG00000281447.1	22.505632400512695
ENSG00000253508.1	22.49899673461914
ENSG00000231955.1	22.49510383605957
ENSG00000228078.1	22.485382080078125
ENSG00000247993.2	22.476255416870117
ENSG00000258186.2	22.464580535888672
ENSG00000201183.1	22.4608211517334
ENSG00000273132.1	22.44791030883789
ENSG00000241326.1	22.438396453857422
ENSG00000086548.8	22.423904418945312
ENSG00000236679.2	22.42009925842285
ENSG00000274576.2	22.411659240722656
ENSG00000281823.1	22.38965606689453
ENSG00000257464.1	22.368318557739258
ENSG00000228952.1	22.367961883544922
ENSG00000206760.1	22.356399536132812
